#Release 13.4 - par O.87xd (nt64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Tue Oct 23 21:47:59 2018

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       CDBunit_map.ncd
#OUTPUT FILE:      CDBunit_pad.csv
#PART TYPE:        xc3s1600e
#SPEED GRADE:      -5
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,,TDI,,,,,,,,,,,,
A3,Value2<29>,IBUF,IP,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A4,Value2<27>,IBUF,IO_L24P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A5,Value2<22>,IBUF,IP_L22P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A6,Value2<19>,IBUF,IO_L20N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A7,Value2<17>,IBUF,IO,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A8,CDBout<30>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A9,,,VCCO_0,,,0,,,,,2.50,,,,
A10,Value2<1>,IBUF,IO_L12N_0/GCLK7,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A11,Value1<24>,IBUF,IO,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A12,Value1<19>,IBUF,IO,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A13,Value1<14>,IBUF,IO_L05P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A14,Value1<13>,IBUF,IO_L04N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A15,Value1<8>,IBUF,IP_L02N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A16,Value1<6>,IBUF,IO_L01N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A17,,,TCK,,,,,,,,,,,,
A18,,,GND,,,,,,,,,,,,
B1,,,PROG_B,,,,,,,,,,,,
B2,,,GND,,,,,,,,,,,,
B3,Value2<31>,IBUF,IO_L25N_0/HSWAP,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B4,Value2<28>,IBUF,IO_L24N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B5,Value2<23>,IBUF,IP_L22N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B6,Value2<18>,IBUF,IO_L20P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B7,,,VCCAUX,,,,,,,,2.5,,,,
B8,Value2<3>,IBUF,IP_L13P_0/GCLK8,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
